fileName,var,clause,type,BOBSS2,ansBB5,BOBSS3,BOBSS0,BOBSS1,BOBSS,BOBSS2_best,ansBB5_best,BOBSS3_best,BOBSS0_best,BOBSS1_best,BOBSS_best
c08773ab-d878-4144-aaaf-7845c118f04c.cnf,5,4,bino,0.8087484517456858,0.6791831974890519,0.7465718858163682,0.8395254892392859,0.7465718858163682,0.9048672086720867,0.9726829268292683,0.711340206185567,0.8483754512635379,0.9494584837545126,0.8483754512635379,0.9869918699186991
c08773ab-d878-4144-aaaf-7845c118f04c.cnf,5,4,normal,0.7464806783477554,0.8770347225935501,0.8473187697163697,0.7767286550522431,0.7774193204718856,0.9765121613116448,0.8401164085240558,0.9586529228941664,0.9505045534013167,0.8401164085240558,0.835688497219931,0.9995775474475651
c08773ab-d878-4144-aaaf-7845c118f04c.cnf,5,4,hign,0.9293063539298944,0.7536647018962533,0.7536647018962533,0.7765151031800959,0.9293063539298944,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43ecff4e-2851-4e15-b673-5579fa30d568.cnf,18,17,bino,0.9177654333153002,0.8833979253231478,0.9052454547238789,0.8922614791000729,0.9179361604159114,0.9488120648294901,0.9780866721177432,0.9375909458367017,0.9362974939369442,0.978250204415372,0.9773054015198193,0.9766148814390843
43ecff4e-2851-4e15-b673-5579fa30d568.cnf,18,17,normal,0.6998944299051945,0.5987519640786597,0.6764233054400992,0.6517268765520808,0.595760009670391,0.7548473059474657,0.7228057592901759,0.6292407072511877,0.7019659081291914,0.7014781423584878,0.6832739440344825,0.8019275951992728
43ecff4e-2851-4e15-b673-5579fa30d568.cnf,18,17,hign,0.7316986384856348,0.8144216718840273,0.7687848331055002,0.903030396648553,0.8443572937113971,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84e50405-6d52-4470-9853-2d64f600fd43.cnf,6,4,bino,0.9771708106986036,0.9603154712371437,0.9704463975010166,0.953849201435641,0.97163099769845,0.993873077448586,0.9990141307919816,0.9990141307919816,0.9952615992102666,0.9988153998025666,0.9988153998025666,0.9990141307919816
84e50405-6d52-4470-9853-2d64f600fd43.cnf,6,4,normal,0.8490016104570578,0.8930608344206226,0.8348936965576993,0.8704099069570318,0.9020806932683961,0.9656315199083803,0.919907525212646,0.919907525212646,0.9049876410659072,0.8793586003732105,0.9743709593073032,0.9877880747605395
84e50405-6d52-4470-9853-2d64f600fd43.cnf,6,4,hign,0.7961285717781967,0.7961285717781967,0.9034802819201729,0.9034802819201729,0.7961285717781967,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51c30f20-3dbb-4494-bdbd-3ba0ed3a7866.cnf,5,4,bino,0.8588594254026316,0.8105625471496922,0.9312160170611538,0.9094009416481189,0.8927379146726336,0.9946293196087821,0.9538537064310261,0.9538537064310261,0.9914188934888972,0.9538537064310261,0.9538537064310261,0.9961329527667803
51c30f20-3dbb-4494-bdbd-3ba0ed3a7866.cnf,5,4,normal,0.8754997716392868,0.8380763772238327,0.8004260810966972,0.8339283837898668,0.8279278187736908,0.9533493908243418,0.8840382031339178,0.8929012004100063,0.823427305781527,0.9942223471488026,0.847548833333196,1.0
51c30f20-3dbb-4494-bdbd-3ba0ed3a7866.cnf,5,4,hign,0.8472087492502015,0.828183708049572,0.8988773541196776,0.8988773541196776,0.7487647409242401,0.9151676247158733,1.0,1.0,1.0,1.0,1.0,1.0
89e85e75-0b6e-4f37-8136-ecf6d791bbc9.cnf,16,16,bino,0.8610532391960554,0.788509791211327,0.959524147895355,0.8831500217466961,0.911074461057105,0.9728260882684412,0.9679582712369598,0.9134058258591952,0.9697853167240922,0.9700503578054599,0.9491121123774185,0.9765275707898659
89e85e75-0b6e-4f37-8136-ecf6d791bbc9.cnf,16,16,normal,0.7258136661659131,0.730387372302641,0.655997076313639,0.7412427959884332,0.6945775125735395,0.8771341648342077,0.7557970331788558,0.8081844563899739,0.7614730824227929,0.7848447786299754,0.7885982472923975,0.9130861839603299
89e85e75-0b6e-4f37-8136-ecf6d791bbc9.cnf,16,16,hign,0.9223067525968339,0.8514119394054651,0.8864166881172694,0.9223067525968339,0.8598938533333799,1.0,1.0,1.0,1.0,1.0,1.0,1.0
c3845ad3-e442-4e50-b065-3ccad6b11e36.cnf,12,10,bino,0.9702503659309291,0.93195146713871,0.9501893744969133,0.8698059980125356,0.9375271183696489,0.9933782096129182,0.9916309450908348,0.9840783833435395,0.989385588895693,0.997121784493614,0.9928556848336395,0.997121784493614
c3845ad3-e442-4e50-b065-3ccad6b11e36.cnf,12,10,normal,0.8192123010624859,0.7993905986875794,0.8099523128394046,0.8263020771664255,0.8000973220682707,0.8393306973756337,0.8569157131449409,0.8535667731281226,0.8354785124420644,0.8515200621164872,0.8289353665866023,0.8569157131449409
c3845ad3-e442-4e50-b065-3ccad6b11e36.cnf,12,10,hign,0.8186944262031983,0.8888045870496931,0.792460377270483,0.8406885244457154,0.8501384025868338,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1c0e7059-24cc-4eca-ad88-03b69b7bd79d.cnf,15,20,bino,0.7255617885720776,0.7498826760122862,0.7591445811634837,0.819507599214616,0.8089605977249494,0.8544539001438368,0.8643132928847215,0.805634917146499,0.8838732363412597,0.9498460184777827,0.9810889606807974,0.8778662043968166
1c0e7059-24cc-4eca-ad88-03b69b7bd79d.cnf,15,20,normal,0.8534339579868176,0.75910024440625,0.8653427417075515,0.7750785364030203,0.8230603347345604,0.8770174353663464,0.9060702410074832,0.8074662593347344,0.8897206269220286,0.8790911320736673,0.8595462531967396,0.9161070116948937
